 Moyenne avec cache chaud 16:32
26785 1.8651e-09 4.1079e-10 4.54028 20 -15120 
29463 1.91921e-09 4.12782e-10 4.64946 20 9315 
32410 1.88435e-09 4.21359e-10 4.47208 20 -5670 
8 5.21484e-10 6.20313e-09 0.084068 22 -8685 
16 5.44922e-10 2.92627e-09 0.186217 22 8415 
24 6.04492e-10 2.01855e-09 0.299468 22 -6030 
32 6.06201e-10 1.46655e-09 0.413351 22 2880 
40 6.28516e-10 1.14453e-09 0.549147 22 4950 
48 6.26139e-10 9.98372e-10 0.62716 22 3375 
56 6.23744e-10 8.91044e-10 0.700016 22 360 
64 6.25244e-10 7.26562e-10 0.860551 22 2430 
72 6.24023e-10 6.66016e-10 0.93695 22 4320 
80 6.23535e-10 6.17383e-10 1.00997 22 2610 
88 5.99432e-10 5.18377e-10 1.15636 22 5085 
96 5.47135e-10 5.21308e-10 1.04954 22 2565 
106 5.09502e-10 4.73549e-10 1.07592 22 -3015 
117 5.4506e-10 4.12514e-10 1.32131 22 -135 
128 5.10188e-10 3.70588e-10 1.3767 22 -2520 
141 5.12156e-10 3.208e-10 1.59649 22 -6390 
155 5.19296e-10 3.10646e-10 1.67167 22 -7020 
171 5.11049e-10 2.85141e-10 1.79227 22 9810 
188 5.04122e-10 2.66559e-10 1.89122 22 0 
207 5.12785e-10 2.2203e-10 2.30953 22 -1080 
228 5.8141e-10 2.18179e-10 2.66484 22 4590 
251 5.09726e-10 2.11291e-10 2.41243 22 -2340 
276 6.35667e-10 1.98336e-10 3.20499 22 -1710 
303 5.97664e-10 1.82571e-10 3.2736 22 6525 
334 6.69379e-10 1.78908e-10 3.74147 22 4050 
367 6.97498e-10 1.58011e-10 4.41423 22 -6840 
404 8.92395e-10 1.3897e-10 6.4215 22 -7875 
444 9.63914e-10 1.3398e-10 7.19447 22 315 
489 1.06697e-09 1.29133e-10 8.26259 22 540 
538 1.15104e-09 1.24842e-10 9.21993 22 2250 
591 1.18603e-09 1.13704e-10 10.4308 22 -630 
651 1.20352e-09 1.09428e-10 10.9982 22 2430 
716 1.21182e-09 9.93825e-11 12.1935 22 -7965 
787 1.20258e-09 9.14293e-11 13.1532 22 -1350 
866 1.20588e-09 8.82478e-11 13.6647 22 -2430 
953 1.21e-09 8.67662e-11 13.9455 22 1485 
1048 1.21396e-09 8.18667e-11 14.8285 22 -5040 
1153 1.21905e-09 8.80739e-11 13.8413 22 -1980 
1268 1.21647e-09 7.60709e-11 15.9913 22 5490 
1395 1.21771e-09 7.62319e-11 15.9738 22 -9090 
1535 1.21061e-09 7.09509e-11 17.0627 22 -9135 
1688 1.21117e-09 6.49406e-11 18.6505 22 4950 
1857 1.221e-09 6.72474e-11 18.1568 22 -1710 
2043 1.22795e-09 6.45565e-11 19.0213 22 13230 
2247 1.23105e-09 6.33076e-11 19.4455 22 -9225 
2472 1.25069e-09 6.27192e-11 19.9411 22 -1125 
2719 1.27291e-09 6.12665e-11 20.7767 22 -1890 
2991 1.29951e-09 5.80187e-11 22.3981 22 12060 
