 Moyenne avec cache chaud 16:32
1688 1.67111e-09 1.99444e-10 8.37887 30 -8.74095e+07 
1857 1.67107e-09 1.86966e-10 8.93784 30 -7.23024e+08 
2043 1.67103e-09 1.8216e-10 9.17341 30 -2.44328e+08 
2247 1.67122e-09 1.65889e-10 10.0744 30 3.20797e+08 
2472 1.67129e-09 1.65996e-10 10.0683 30 -8.20998e+08 
2719 1.67334e-09 1.61e-10 10.3934 30 6.12453e+08 
2991 1.67692e-09 1.51337e-10 11.0807 30 -4.22979e+08 
3290 1.67689e-09 1.49004e-10 11.254 30 4.81478e+08 
3619 1.68211e-09 1.41051e-10 11.9256 30 -1.17366e+08 
3981 1.68923e-09 1.43518e-10 11.7702 30 -4.29272e+08 
4379 1.7027e-09 1.42283e-10 11.967 30 -3.30423e+08 
4817 1.72414e-09 1.4843e-10 11.6158 30 6.62608e+08 
5299 1.74609e-09 1.5719e-10 11.1082 30 1.14686e+09 
5829 1.76306e-09 1.72897e-10 10.1972 30 4.52356e+08 
6412 1.77969e-09 1.81928e-10 9.78239 30 9.6206e+08 
7053 1.81426e-09 1.90827e-10 9.50736 30 -4.23253e+08 
7758 1.82914e-09 1.9847e-10 9.2162 30 1.34115e+09 
8534 1.82325e-09 2.11583e-10 8.61719 30 8.41544e+07 
9388 1.84989e-09 2.17514e-10 8.50472 30 4.77294e+08 
10326 1.84266e-09 2.25082e-10 8.18663 30 -6.08982e+08 
11359 1.87189e-09 2.40025e-10 7.79875 30 -1.17111e+09 
12495 1.88665e-09 2.54746e-10 7.40598 30 2.80725e+07 
13745 1.87835e-09 2.7064e-10 6.94039 30 5.76651e+08 
15119 1.91604e-09 2.93808e-10 6.52143 30 -7.75734e+08 
16631 1.91024e-09 3.14921e-10 6.06577 30 -1.58385e+09 
18294 1.89614e-09 3.26754e-10 5.80298 30 -1.79581e+09 
20124 1.89857e-09 3.47387e-10 5.4653 30 -1.03561e+09 
22136 1.9365e-09 3.72575e-10 5.19761 30 1.55376e+09 
24350 1.83076e-09 4.29816e-10 4.25942 30 5.31559e+08 
26785 1.81054e-09 4.4621e-10 4.05759 30 -5.10641e+08 
29463 1.77946e-09 4.55529e-10 3.90635 30 -1.27033e+08 
32410 1.81765e-09 4.65782e-10 3.90236 30 9.85184e+08 
8 1.69727e-09 2.0041e-08 0.0846896 32 -2.36948e+07 
16 1.68555e-09 1.0187e-08 0.16546 32 8.27874e+06 
24 1.68066e-09 6.94043e-09 0.242156 32 1.30064e+07 
32 1.67822e-09 5.24609e-09 0.319899 32 -2.99258e+07 
40 1.67676e-09 4.19648e-09 0.399563 32 4.86896e+07 
48 1.67546e-09 3.5236e-09 0.475495 32 -9.70178e+07 
56 1.6748e-09 2.92006e-09 0.573551 32 -5.19784e+07 
64 1.67419e-09 2.61255e-09 0.640828 32 5.85594e+06 
72 1.67383e-09 2.34201e-09 0.714696 32 1.17801e+08 
80 1.67354e-09 2.1248e-09 0.787618 32 1.67278e+07 
88 1.67338e-09 1.89098e-09 0.88493 32 -8.84277e+06 
96 1.67304e-09 1.75117e-09 0.955386 32 4.68353e+07 
106 1.67283e-09 1.52696e-09 1.09553 32 1.30029e+08 
117 1.6726e-09 1.46561e-09 1.14123 32 -3.09618e+06 
128 1.67253e-09 1.32371e-09 1.26351 32 -3.54799e+08 
141 1.6722e-09 1.22587e-09 1.36409 32 1.30637e+08 
155 1.67211e-09 1.13342e-09 1.47528 32 -1.25771e+08 
171 1.67203e-09 1.00989e-09 1.65566 32 -1.25335e+08 
188 1.67197e-09 9.37368e-10 1.78368 32 3.2735e+08 
207 1.67181e-09 8.48842e-10 1.96952 32 1.14597e+08 
228 1.67176e-09 7.84697e-10 2.13045 32 7.1549e+07 
251 1.67166e-09 7.25125e-10 2.30533 32 9.41283e+06 
276 1.6716e-09 6.47408e-10 2.58199 32 7.8345e+07 
303 1.67151e-09 6.13457e-10 2.72474 32 1.16161e+08 
334 1.67151e-09 5.61838e-10 2.97507 32 -6.79634e+07 
367 1.67139e-09 5.24479e-10 3.18677 32 -1.25242e+08 
404 1.67135e-09 4.74886e-10 3.51947 32 2.33566e+08 
444 1.67122e-09 4.39291e-10 3.80435 32 -2.07334e+08 
489 1.67152e-09 4.06181e-10 4.11521 32 4.33636e+07 
538 1.67153e-09 3.93562e-10 4.24719 32 -2.39136e+08 
591 1.67153e-09 3.53718e-10 4.7256 32 1.53035e+08 
651 1.67187e-09 3.32269e-10 5.03167 32 3.8775e+07 
716 1.67173e-09 3.14457e-10 5.31625 32 8.1998e+08 
787 1.67168e-09 2.84275e-10 5.88051 32 -3.81945e+08 
866 1.67154e-09 2.66483e-10 6.27259 32 -1.40838e+08 
953 1.67152e-09 2.55881e-10 6.53243 32 -8.22606e+07 
1048 1.67142e-09 2.38879e-10 6.99691 32 -3.05357e+08 
1153 1.67134e-09 2.28097e-10 7.32732 32 1.68415e+08 
1268 1.6713e-09 2.12479e-10 7.86573 32 4.78029e+08 
1395 1.6712e-09 2.01219e-10 8.30534 32 -3.41769e+08 
1535 1.67118e-09 1.93773e-10 8.62444 32 3.79082e+08 
1688 1.67111e-09 1.80868e-10 9.23938 32 7.68328e+08 
1857 1.67109e-09 1.71441e-10 9.74728 32 -5.31086e+08 
2043 1.671e-09 1.69637e-10 9.85042 32 1.5236e+08 
2247 1.67119e-09 1.56819e-10 10.6568 32 -2.16867e+08 
2472 1.67119e-09 1.5388e-10 10.8604 32 3.71998e+08 
2719 1.67306e-09 1.47395e-10 11.3509 32 -1.25224e+09 
2991 1.67623e-09 1.41217e-10 11.8699 32 8.56979e+08 
3290 1.67906e-09 1.37054e-10 12.2511 32 3.91803e+08 
3619 1.6857e-09 1.35961e-10 12.3984 32 2.39564e+09 
3981 1.68699e-09 1.32182e-10 12.7626 32 -3.24892e+08 
4379 1.70156e-09 1.36168e-10 12.4961 32 -3.88932e+08 
4817 1.7215e-09 1.42834e-10 12.0525 32 1.13757e+09 
